DUID,PID,DUPERSID,DOBMM,DOBYY,SEX,RACEX,RACEAX,RACEBX,RACEWX,RACETHNX,HISPANX,HISPCAT,EDUCYEAR,Year,marry,income,poverty
3,4,6,13,16
20002,14,20002014,12,1963,2,1,3,3,1,1,1,5,12,2003,1,25200,3
20002,21,20002021,10,1986,1,1,3,3,1,1,1,92,8,2003,5,0,3
20002,38,20002038,5,1988,2,1,3,3,1,1,1,92,7,2003,6,0,3
20002,45,20002045,3,1993,2,1,3,3,1,1,1,92,2,2003,6,0,3
20002,51,20002051,9,1998,1,1,3,3,1,1,1,92,-1,2003,6,0,3
20002,68,20002068,3,1955,1,1,3,3,1,1,1,5,6,2003,1,16800,3
20003,11,20003011,2,2003,1,1,3,3,1,4,2,6,-1,2003,6,0,4
20003,19,20003019,5,1978,2,1,3,3,1,4,2,6,12,2003,1,20000,4
20003,26,20003026,1,1975,2,1,3,3,1,4,2,6,12,2003,5,32021,4
20003,30,20003030,8,1972,1,1,3,3,1,4,2,6,10,2003,1,23629,4
20004,18,20004018,8,1918,2,1,3,3,1,4,2,6,15,2003,2,27883,4
20007,16,20007016,7,1948,2,1,3,3,1,4,2,6,12,2003,1,60500,5
20007,23,20007023,7,1942,1,1,3,3,1,4,2,6,17,2003,1,90500,5
20007,30,20007030,4,1974,1,1,3,3,1,4,2,6,15,2003,5,31300,5
20014,11,20014011,9,2002,1,1,3,3,1,4,2,6,-1,2003,6,0,4
20014,17,20014017,11,1970,1,1,3,3,1,4,2,6,16,2003,1,60000,4
20014,24,20014024,5,1970,2,1,3,3,1,4,2,6,12,2003,1,0,4
20014,31,20014031,7,1999,1,1,3,3,1,4,2,6,-1,2003,6,0,4
20015,19,20015019,2,1958,2,1,3,3,1,4,2,6,14,2003,1,21202,5
20015,26,20015026,3,1954,1,1,3,3,1,4,2,6,16,2003,1,76005,5
20015,33,20015033,12,1989,1,1,3,3,1,4,2,6,5,2003,6,0,5
20016,13,20016013,6,1976,2,1,3,3,1,1,1,4,6,2003,1,0,3
20016,15,20016015,4,1984,2,1,3,3,1,4,2,6,12,2003,1,10000,3
